OrderID,CustomerID,OrderDate,ShippingDate,ExpectedDeliveryDate,ActualDeliveryDate,ShippingTierID,SupplierID,OrderChannel
OR-000060,CUST-10753,2023-03-08 12:43:00+00:00,2023-03-15 14:45:00+00:00,2023-03-26 12:51:00+00:00,2023-03-21 10:59:00+00:00,SHP-003,SUP-06,Online
OR-000061,CUST-15537,2022-09-01 14:53:00+00:00,2022-09-07 11:30:00+00:00,2022-09-20 07:11:00+00:00,2022-09-16 04:43:00+00:00,SHP-002,SUP-01,Online
OR-000062,CUST-07370,2020-06-10 02:55:00+00:00,2020-06-13 07:07:00+00:00,2020-06-25 08:29:00+00:00,2020-07-22 08:36:00+00:00,SHP-002,SUP-10,Online
OR-000063,CUST-09395,2023-02-12 01:21:00+00:00,2023-02-20 15:43:00+00:00,2023-03-07 06:36:00+00:00,2023-03-25 12:00:00+00:00,SHP-003,SUP-03,Online
OR-000064,CUST-18836,2023-08-31 19:54:00+00:00,2023-09-10 22:01:00+00:00,2023-09-15 00:31:00+00:00,2023-09-12 22:06:00+00:00,SHP-003,SUP-09,Online
OR-000065,CUST-09524,2021-09-14 22:27:00+00:00,2021-09-20 09:05:00+00:00,2021-09-29 18:36:00+00:00,2021-09-29 07:39:00+00:00,SHP-001,SUP-09,Online
OR-000066,CUST-15443,2010-10-17 16:05:00+00:00,2010-10-21 23:53:00+00:00,2010-11-02 15:15:00+00:00,2010-10-29 21:34:00+00:00,SHP-003,SUP-03,Online
OR-000067,CUST-04486,2020-12-04 03:22:00+00:00,2020-12-04 03:30:00+00:00,2020-12-04 03:45:00+00:00,2020-12-04 03:46:00+00:00,SHP-004,SUP-08,Retail PoS
OR-000068,CUST-06238,2019-04-11 06:06:00+00:00,2019-04-15 15:31:00+00:00,2019-04-20 21:12:00+00:00,2019-04-25 10:27:00+00:00,SHP-002,SUP-01,Online
OR-000069,CUST-19343,2023-08-20 12:43:00+00:00,2023-08-20 12:49:00+00:00,2023-08-20 13:06:00+00:00,2023-08-20 13:03:00+00:00,SHP-004,SUP-06,Retail PoS
OR-000070,CUST-02969,2010-11-26 19:15:00+00:00,2010-11-26 19:22:00+00:00,2010-11-26 19:44:00+00:00,2010-11-26 19:33:00+00:00,SHP-004,SUP-01,Retail PoS
OR-000071,CUST-10397,2024-03-21 18:12:00+00:00,2024-03-29 00:31:00+00:00,2024-04-17 10:47:00+00:00,2024-05-17 19:43:00+00:00,SHP-003,SUP-04,Online
OR-000072,CUST-15363,2021-03-22 15:14:00+00:00,2021-03-26 09:42:00+00:00,2021-04-05 16:00:00+00:00,2021-04-01 20:09:00+00:00,SHP-002,SUP-05,Online
OR-000073,CUST-04964,2017-06-07 22:30:00+00:00,2017-06-18 06:39:00+00:00,2017-06-21 21:53:00+00:00,2017-06-21 01:01:00+00:00,SHP-003,SUP-06,Online
OR-000074,CUST-11214,2023-02-26 11:36:00+00:00,2023-03-05 10:12:00+00:00,2023-03-06 06:10:00+00:00,2023-03-06 02:05:00+00:00,SHP-003,SUP-08,Online
OR-000075,CUST-16309,2017-08-11 01:11:00+00:00,2017-08-11 01:17:00+00:00,2017-08-11 01:41:00+00:00,2017-08-11 01:30:00+00:00,SHP-004,SUP-03,Retail PoS
OR-000076,CUST-07468,2024-02-05 23:49:00+00:00,2024-02-05 23:57:00+00:00,2024-02-06 00:13:00+00:00,2024-02-06 00:12:00+00:00,SHP-004,SUP-06,Retail PoS
OR-000077,CUST-00352,2020-08-17 02:27:00+00:00,2020-08-17 02:35:00+00:00,2020-08-17 02:56:00+00:00,2020-08-17 02:59:00+00:00,SHP-004,SUP-01,Retail PoS
OR-000078,CUST-04973,2010-07-05 01:42:00+00:00,2010-07-11 14:49:00+00:00,2010-07-21 08:11:00+00:00,2010-07-12 15:34:00+00:00,SHP-001,SUP-07,Online
OR-000079,CUST-03229,2023-06-13 12:30:00+00:00,2023-06-23 11:35:00+00:00,2023-06-25 07:25:00+00:00,2023-07-14 18:46:00+00:00,SHP-002,SUP-05,Online
OR-000080,CUST-16623,2022-12-08 19:45:00+00:00,2022-12-17 21:16:00+00:00,2023-01-07 07:30:00+00:00,2022-12-29 14:30:00+00:00,SHP-003,SUP-03,Online
OR-000081,CUST-12256,2018-07-27 16:05:00+00:00,2018-07-27 16:11:00+00:00,2018-07-27 16:25:00+00:00,2018-07-27 16:40:00+00:00,SHP-004,SUP-08,Retail PoS
OR-000082,CUST-10404,2024-03-01 21:04:00+00:00,2024-03-01 21:09:00+00:00,2024-03-01 21:34:00+00:00,2024-03-01 21:36:00+00:00,SHP-004,SUP-06,Retail PoS
OR-000083,CUST-09024,2024-04-16 14:01:00+00:00,2024-04-24 20:38:00+00:00,2024-05-11 15:03:00+00:00,2024-05-05 03:18:00+00:00,SHP-003,SUP-03,Online
OR-000084,CUST-18053,2023-12-15 20:32:00+00:00,2023-12-20 00:44:00+00:00,2024-01-04 01:56:00+00:00,2023-12-30 21:17:00+00:00,SHP-003,SUP-05,Online
OR-000085,CUST-03787,2023-07-08 02:31:00+00:00,2023-07-09 14:30:00+00:00,2023-07-15 06:42:00+00:00,2023-07-14 11:04:00+00:00,SHP-005,SUP-04,Retail PoS
OR-000086,CUST-02218,2019-07-30 15:49:00+00:00,2019-07-30 15:58:00+00:00,2019-07-30 16:18:00+00:00,2019-07-30 16:09:00+00:00,SHP-004,SUP-08,Retail PoS
OR-000087,CUST-12942,2019-06-05 09:40:00+00:00,2019-06-13 03:24:00+00:00,2019-06-25 06:57:00+00:00,2019-06-16 11:56:00+00:00,SHP-003,SUP-09,Online
OR-000088,CUST-00430,2023-08-17 06:16:00+00:00,2023-08-23 18:23:00+00:00,2023-08-29 15:24:00+00:00,2023-08-25 11:40:00+00:00,SHP-002,SUP-07,Online
OR-000089,CUST-13467,2023-05-22 23:26:00+00:00,2023-05-27 17:21:00+00:00,2023-06-06 01:10:00+00:00,2023-05-29 18:14:00+00:00,SHP-003,SUP-06,Online
OR-000090,CUST-19646,2022-03-09 14:46:00+00:00,2022-03-20 00:18:00+00:00,2022-03-24 04:18:00+00:00,2022-03-23 23:59:00+00:00,SHP-002,SUP-10,Online
OR-000091,CUST-17104,2021-09-06 20:49:00+00:00,2021-09-06 20:58:00+00:00,2021-09-06 21:10:00+00:00,2021-09-06 21:16:00+00:00,SHP-004,SUP-06,Retail PoS
OR-000092,CUST-05142,2022-01-07 11:26:00+00:00,2022-01-10 08:50:00+00:00,2022-01-18 19:36:00+00:00,2022-01-12 08:04:00+00:00,SHP-002,SUP-01,Online
OR-000093,CUST-16655,2024-01-01 14:05:00+00:00,2024-01-01 14:12:00+00:00,2024-01-01 14:32:00+00:00,2024-01-01 14:36:00+00:00,SHP-004,SUP-02,Retail PoS
OR-000094,CUST-13913,2020-03-23 17:54:00+00:00,2020-03-23 18:04:00+00:00,2020-03-23 18:24:00+00:00,2020-03-23 18:27:00+00:00,SHP-004,SUP-05,Retail PoS
OR-000095,CUST-00918,2020-07-28 00:23:00+00:00,2020-07-28 00:31:00+00:00,2020-07-28 00:46:00+00:00,2020-07-28 01:00:00+00:00,SHP-004,SUP-06,Retail PoS
OR-000096,CUST-19699,2023-02-14 19:44:00+00:00,2023-02-15 23:50:00+00:00,2023-03-03 16:25:00+00:00,2023-02-22 14:48:00+00:00,SHP-003,SUP-02,Online
OR-000097,CUST-04901,2023-10-21 01:18:00+00:00,2023-10-30 05:18:00+00:00,2023-11-01 11:11:00+00:00,2023-10-31 10:47:00+00:00,SHP-003,SUP-02,Online
OR-000098,CUST-08164,2001-10-07 23:41:00+00:00,2001-10-11 12:44:00+00:00,2001-10-30 12:32:00+00:00,2001-10-15 19:16:00+00:00,SHP-003,SUP-01,Online
OR-000099,CUST-13746,2024-04-11 08:14:00+00:00,2024-04-11 08:23:00+00:00,2024-04-11 08:39:00+00:00,2024-04-11 08:44:00+00:00,SHP-004,SUP-05,Retail PoS
OR-000100,CUST-05340,2023-10-01 12:58:00+00:00,2023-10-05 10:49:00+00:00,2023-10-11 14:16:00+00:00,2023-11-02 22:51:00+00:00,SHP-003,SUP-09,Online
OR-000101,CUST-02337,2020-02-04 04:28:00+00:00,2020-02-14 21:19:00+00:00,2020-02-26 13:21:00+00:00,2020-02-16 12:45:00+00:00,SHP-001,SUP-06,Online
OR-000102,CUST-02197,2022-04-05 23:38:00+00:00,2022-04-12 19:40:00+00:00,2022-04-13 12:40:00+00:00,2022-04-13 09:12:00+00:00,SHP-002,SUP-04,Online
OR-000103,CUST-07105,2010-08-31 14:12:00+00:00,2010-08-31 14:21:00+00:00,2010-08-31 14:41:00+00:00,2010-08-31 14:32:00+00:00,SHP-004,SUP-09,Retail PoS
OR-000104,CUST-07831,2024-06-07 09:29:00+00:00,2024-06-07 09:39:00+00:00,2024-06-07 09:59:00+00:00,2024-06-07 10:08:00+00:00,SHP-004,SUP-06,Retail PoS
OR-000105,CUST-03178,2024-04-05 11:00:00+00:00,2024-04-06 18:25:00+00:00,2024-04-11 02:56:00+00:00,2024-04-07 23:24:00+00:00,SHP-002,SUP-04,Online
OR-000106,CUST-07930,2024-04-16 21:21:00+00:00,2024-04-19 09:46:00+00:00,2024-05-05 04:22:00+00:00,2024-05-01 02:30:00+00:00,SHP-002,SUP-03,Online
OR-000107,CUST-12439,2021-12-02 12:37:00+00:00,2021-12-02 12:43:00+00:00,2021-12-02 13:00:00+00:00,2021-12-02 13:11:00+00:00,SHP-004,SUP-09,Retail PoS
OR-000108,CUST-03463,2024-06-14 06:24:00+00:00,2024-06-23 00:34:00+00:00,2024-07-04 07:22:00+00:00,2024-08-01 12:31:00+00:00,SHP-003,SUP-09,Online
OR-000109,CUST-04532,2024-05-13 17:46:00+00:00,2024-05-18 11:08:00+00:00,2024-05-19 21:00:00+00:00,2024-06-12 03:20:00+00:00,SHP-003,SUP-10,Online
OR-000110,CUST-00717,2017-04-03 20:09:00+00:00,2017-04-03 20:17:00+00:00,2017-04-03 20:29:00+00:00,2017-04-03 20:42:00+00:00,SHP-004,SUP-06,Retail PoS
OR-000111,CUST-13930,2024-04-21 14:10:00+00:00,2024-04-21 14:18:00+00:00,2024-04-21 14:36:00+00:00,2024-04-21 14:44:00+00:00,SHP-004,SUP-10,Retail PoS
OR-000112,CUST-14664,2024-04-16 07:55:00+00:00,2024-04-27 06:52:00+00:00,2024-05-13 08:19:00+00:00,2024-05-30 07:35:00+00:00,SHP-003,SUP-03,Online
OR-000113,CUST-06716,2022-12-30 13:00:00+00:00,2022-12-30 13:05:00+00:00,2022-12-30 13:28:00+00:00,2022-12-30 13:31:00+00:00,SHP-004,SUP-02,Retail PoS
OR-000114,CUST-05022,2024-01-22 10:10:00+00:00,2024-01-31 10:02:00+00:00,2024-02-07 11:42:00+00:00,2024-02-26 01:27:00+00:00,SHP-002,SUP-07,Online
OR-000115,CUST-19434,2024-05-19 19:26:00+00:00,2024-05-25 15:31:00+00:00,2024-06-05 20:21:00+00:00,2024-06-17 17:44:00+00:00,SHP-003,SUP-09,Online
OR-000116,CUST-09456,2022-03-03 10:18:00+00:00,2022-03-09 00:47:00+00:00,2022-03-21 09:12:00+00:00,2022-03-20 18:49:00+00:00,SHP-001,SUP-01,Online
OR-000117,CUST-17396,2024-06-04 02:02:00+00:00,2024-06-14 04:11:00+00:00,2024-07-03 20:48:00+00:00,2024-06-27 00:51:00+00:00,SHP-003,SUP-05,Online
OR-000118,CUST-07108,2019-12-17 20:18:00+00:00,2019-12-17 20:23:00+00:00,2019-12-17 20:42:00+00:00,2019-12-17 20:54:00+00:00,SHP-004,SUP-04,Retail PoS
OR-000119,CUST-07785,2024-01-22 11:29:00+00:00,2024-01-28 04:42:00+00:00,2024-02-05 01:11:00+00:00,2024-03-05 10:51:00+00:00,SHP-001,SUP-09,Online
OR-000120,CUST-19309,2011-03-14 05:10:00+00:00,2011-03-22 22:30:00+00:00,2011-03-27 00:47:00+00:00,2011-04-24 05:56:00+00:00,SHP-002,SUP-09,Online
OR-000121,CUST-05101,2017-01-04 14:23:00+00:00,2017-01-04 14:32:00+00:00,2017-01-04 14:47:00+00:00,2017-01-04 14:48:00+00:00,SHP-004,SUP-08,Retail PoS
OR-000122,CUST-09341,2022-03-15 18:36:00+00:00,2022-03-25 19:20:00+00:00,2022-04-02 20:42:00+00:00,2022-03-29 06:26:00+00:00,SHP-002,SUP-05,Online
OR-000123,CUST-06659,2021-10-09 08:07:00+00:00,2021-10-17 06:01:00+00:00,2021-10-22 03:49:00+00:00,2021-10-19 17:34:00+00:00,SHP-002,SUP-06,Online
OR-000124,CUST-06680,2024-06-13 16:27:00+00:00,2024-06-18 14:46:00+00:00,2024-06-19 06:54:00+00:00,2024-07-07 10:10:00+00:00,SHP-003,SUP-04,Online
OR-000125,CUST-04705,2014-01-14 11:07:00+00:00,2014-01-18 23:50:00+00:00,2014-01-23 10:26:00+00:00,2014-02-03 08:59:00+00:00,SHP-001,SUP-06,Online
OR-000126,CUST-15692,2022-06-30 06:06:00+00:00,2022-07-03 00:48:00+00:00,2022-07-04 20:25:00+00:00,2022-07-04 20:04:00+00:00,SHP-003,SUP-03,Online
OR-000127,CUST-00839,2021-04-21 14:27:00+00:00,2021-04-28 02:34:00+00:00,2021-04-30 02:22:00+00:00,2021-05-17 09:53:00+00:00,SHP-002,SUP-05,Online
OR-000128,CUST-09972,2024-02-08 02:02:00+00:00,2024-02-15 09:23:00+00:00,2024-02-22 16:22:00+00:00,2024-03-20 00:36:00+00:00,SHP-001,SUP-05,Online
OR-000129,CUST-14507,2023-06-23 10:21:00+00:00,2023-07-01 02:11:00+00:00,2023-07-11 09:43:00+00:00,2023-07-21 06:35:00+00:00,SHP-001,SUP-06,Online
OR-000130,CUST-11357,2008-11-21 18:14:00+00:00,2008-11-21 18:19:00+00:00,2008-11-21 18:39:00+00:00,2008-11-21 18:53:00+00:00,SHP-004,SUP-06,Retail PoS
OR-000131,CUST-00805,2011-08-10 07:59:00+00:00,2011-08-20 10:58:00+00:00,2011-08-25 08:00:00+00:00,2011-08-21 12:15:00+00:00,SHP-005,SUP-10,Retail PoS
OR-000132,CUST-08001,2021-05-25 04:17:00+00:00,2021-06-03 15:53:00+00:00,2021-06-22 04:34:00+00:00,2021-06-26 16:12:00+00:00,SHP-003,SUP-08,Online
OR-000133,CUST-06797,2014-11-11 01:13:00+00:00,2014-11-11 01:22:00+00:00,2014-11-11 01:34:00+00:00,2014-11-11 01:47:00+00:00,SHP-004,SUP-06,Retail PoS
OR-000134,CUST-01682,2024-06-14 17:19:00+00:00,2024-06-22 11:45:00+00:00,2024-06-23 23:06:00+00:00,2024-06-23 22:45:00+00:00,SHP-001,SUP-01,Online
OR-000135,CUST-07601,2019-02-11 13:24:00+00:00,2019-02-13 05:04:00+00:00,2019-03-05 20:33:00+00:00,2019-03-08 01:11:00+00:00,SHP-001,SUP-01,Online
OR-000136,CUST-01721,2019-10-31 16:25:00+00:00,2019-11-04 11:56:00+00:00,2019-11-18 05:43:00+00:00,2019-11-13 11:22:00+00:00,SHP-003,SUP-08,Online
OR-000137,CUST-10851,2024-05-09 23:21:00+00:00,2024-05-18 16:59:00+00:00,2024-05-21 09:19:00+00:00,2024-06-02 00:23:00+00:00,SHP-002,SUP-05,Online
OR-000138,CUST-11612,2024-03-10 19:45:00+00:00,2024-03-10 19:52:00+00:00,2024-03-10 20:11:00+00:00,2024-03-10 20:22:00+00:00,SHP-004,SUP-10,Retail PoS
OR-000139,CUST-10144,2011-09-12 03:26:00+00:00,2011-09-18 08:54:00+00:00,2011-09-24 23:05:00+00:00,2011-09-19 17:40:00+00:00,SHP-002,SUP-09,Online
OR-000140,CUST-13393,2022-03-23 11:55:00+00:00,2022-03-25 01:43:00+00:00,2022-04-01 03:44:00+00:00,2022-04-10 10:42:00+00:00,SHP-001,SUP-02,Online
OR-000141,CUST-05248,2017-10-05 14:52:00+00:00,2017-10-05 14:58:00+00:00,2017-10-05 15:13:00+00:00,2017-10-05 15:09:00+00:00,SHP-004,SUP-08,Retail PoS
OR-000142,CUST-07778,2002-03-19 10:24:00+00:00,2002-03-26 11:25:00+00:00,2002-04-12 01:53:00+00:00,2002-04-08 11:40:00+00:00,SHP-002,SUP-08,Online
